ticker,sector,industry,company_name
TPR,Consumer Cyclical,Luxury Goods,"Tapestry, Inc."
TRGP,Energy,Oil & Gas Midstream,Targa Resources Corp.
TRMB,Technology,Scientific & Technical Instruments,Trimble Inc.
TROW,Financial Services,Asset Management,"T. Rowe Price Group, Inc."
TRV,Financial Services,Insurance - Property & Casualty,"The Travelers Companies, Inc."
TSCO,Consumer Cyclical,Specialty Retail,Tractor Supply Company
TSLA,Consumer Cyclical,Auto Manufacturers,"Tesla, Inc."
TSN,Consumer Defensive,Farm Products,"Tyson Foods, Inc."
TT,Industrials,Building Products & Equipment,Trane Technologies plc
TTD,Communication Services,Advertising Agencies,"The Trade Desk, Inc."
TTWO,Communication Services,Electronic Gaming & Multimedia,"Take-Two Interactive Software, Inc."
TXN,Technology,Semiconductors,Texas Instruments Incorporated
TXT,Industrials,Aerospace & Defense,Textron Inc.
TYL,Technology,Software - Application,"Tyler Technologies, Inc."
UAL,Industrials,Airlines,"United Airlines Holdings, Inc."
UBER,Technology,Software - Application,"Uber Technologies, Inc."
UDR,Real Estate,REIT - Residential,"UDR, Inc."
UHS,Healthcare,Medical Care Facilities,"Universal Health Services, Inc."
ULTA,Consumer Cyclical,Specialty Retail,"Ulta Beauty, Inc."
UNH,Healthcare,Healthcare Plans,UnitedHealth Group Incorporated
UNP,Industrials,Railroads,Union Pacific Corporation
UPS,Industrials,Integrated Freight & Logistics,"United Parcel Service, Inc."
URI,Industrials,Rental & Leasing Services,"United Rentals, Inc."
USB,Financial Services,Banks - Regional,U.S. Bancorp
V,Financial Services,Credit Services,Visa Inc.
VICI,Real Estate,REIT - Diversified,VICI Properties Inc.
VLO,Energy,Oil & Gas Refining & Marketing,Valero Energy Corporation
VLTO,Industrials,Pollution & Treatment Controls,Veralto Corporation
VMC,Basic Materials,Building Materials,Vulcan Materials Company
VRSK,Industrials,Consulting Services,"Verisk Analytics, Inc."
VRSN,Technology,Software - Infrastructure,"VeriSign, Inc."
VRTX,Healthcare,Biotechnology,Vertex Pharmaceuticals Incorporated
VST,Utilities,Utilities - Independent Power Producers,Vistra Corp.
VTR,Real Estate,REIT - Healthcare Facilities,"Ventas, Inc."
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,Viatris Inc.
VZ,Communication Services,Telecom Services,Verizon Communications Inc.
WAB,Industrials,Railroads,Westinghouse Air Brake Technologies Corporation
WAT,Healthcare,Diagnostics & Research,Waters Corporation
WBD,Communication Services,Entertainment,"Warner Bros. Discovery, Inc."
WDAY,Technology,Software - Application,"Workday, Inc."
WDC,Technology,Computer Hardware,Western Digital Corporation
WEC,Utilities,Utilities - Regulated Electric,"WEC Energy Group, Inc."
WELL,Real Estate,REIT - Healthcare Facilities,Welltower Inc.
WFC,Financial Services,Banks - Diversified,Wells Fargo & Company
WM,Industrials,Waste Management,"Waste Management, Inc."
WMB,Energy,Oil & Gas Midstream,"The Williams Companies, Inc."
WMT,Consumer Defensive,Discount Stores,Walmart Inc.
WRB,Financial Services,Insurance - Property & Casualty,W. R. Berkley Corporation
WSM,Consumer Cyclical,Specialty Retail,"Williams-Sonoma, Inc."
WST,Healthcare,Medical Instruments & Supplies,"West Pharmaceutical Services, Inc."
WTW,Financial Services,Insurance Brokers,Willis Towers Watson Public Limited Company
WY,Real Estate,REIT - Specialty,Weyerhaeuser Company
WYNN,Consumer Cyclical,Resorts & Casinos,"Wynn Resorts, Limited"
XEL,Utilities,Utilities - Regulated Electric,Xcel Energy Inc.
XOM,Energy,Oil & Gas Integrated,Exxon Mobil Corporation
XYL,Industrials,Specialty Industrial Machinery,Xylem Inc.
XYZ,Technology,Software - Infrastructure,"Block, Inc."
YUM,Consumer Cyclical,Restaurants,"Yum! Brands, Inc."
ZBH,Healthcare,Medical Devices,"Zimmer Biomet Holdings, Inc."
ZBRA,Technology,Communication Equipment,Zebra Technologies Corporation
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,Zoetis Inc.
